Date,Impressions,Clicks,CTR,CPM,Revenue
2020/05/08,751,650,86.551%,$0.068,$0.051
2020/05/07,1059,533,50.331%,$0.036,$0.039
2020/05/06,1035,435,42.029%,$0.033,$0.035
2020/05/05,1256,561,44.666%,$0.031,$0.039
2020/05/04,730,92,12.603%,$0.010,$0.007
2020/05/03,696,26,3.736%,$0.003,$0.002
2020/04/30,93,14,15.054%,$0.011,$0.001
2020/04/29,160,28,17.500%,$0.012,$0.002
2020/04/28,217,44,20.276%,$0.014,$0.003
2020/04/27,1143,296,25.897%,$0.018,$0.020
2020/04/26,3915,684,17.471%,$0.012,$0.046
2020/04/25,2598,280,10.778%,$0.007,$0.019
2020/04/24,3746,151,4.031%,$0.003,$0.010
2020/04/23,163,106,65.031%,$0.043,$0.007
2020/04/22,21,0,0.000%,$0.000,$0.000
2020/04/20,16,0,0.000%,$0.000,$0.000
2020/04/19,224,73,32.589%,$0.022,$0.005
2020/04/18,76,17,22.368%,$0.038,$0.003
2020/04/17,8,1,12.500%,$0.002,$0.000
2020/04/16,12,4,33.333%,$0.005,$0.000
